_passName,_successfulAttempts,_totalAttempts,_removedBytes
Functions.rmvUnusedParams,3,17,-36
Functions:inline,2,11,29
betaReduceExprs,1,1,-11
expr2Undefined,14,231,-113
filterExprSubList,6,18,-163
formatting,1,1,-774
inlineType,2,2,-11
localBinds,0,8,0
mkExportsExplicit,1,1,179
pat2Wildcard,4,28,-9
rmvConArgs,0,21,0
rmvConstructors,9,20,-132
rmvDecls,7,77,-209
rmvExports,10,16,-142
rmvMatches,0,27,0
rmvRHSs,0,27,0
rmvSigs,7,7,-255
simplifyConDecl,4,23,-113
simplifyExpr,2,96,-12
splitSigs,0,9,0
type2Unit,7,19,-23
type2WildCard,0,27,0
