_passName,_successfulAttempts,_totalAttempts,_removedBytes
Functions.rmvUnusedParams,3,4,-6
TypeFamilies.rmvUnusedParams,3,5,-19
TypeFamilies:apply,0,938,0
contexts,1,1,-15
expr2Undefined,9,36,-61
familyResultSig,2,6,-14
formatting,1,1,-455
handleMultiParams,0,8,0
mkExportsExplicit,1,1,159
pat2Wildcard,8,8,-37
pragmas,7,28,-102
rmvConstructors,1,5,-8
rmvDecls,13,84,-414
rmvExports,12,12,-151
rmvImports,1,2,-17
rmvMatches,1,9,-31
rmvRHSs,0,9,0
rmvSigs,4,25,-224
simplifyExpr,3,10,-9
simplifyType,26,38,-187
splitSigs,0,9,0
tyVarBndr,17,25,-170
type2Unit,17,209,-61
type2WildCard,36,230,-200
unqualImports,0,2,0
