_passName,_successfulAttempts,_totalAttempts,_removedBytes
etaReduceMatches,2,2,-8
expr2Undefined,7,1110,23
filterExprSubList,1,9,-24
formatting,1,1,-415
inlineFunctions,1,14,-2
localBinds,4,22,-76
pat2Wildcard,8,42,-11
rmvDecls,0,40,0
rmvExports,0,4,0
rmvGuards,2,15,-24
rmvImports,1,17,-14
rmvMatches,4,50,-96
rmvRHSs,3,59,-126
rmvSigs,7,7,-211
rmvUnusedParams,0,10,0
simplifyExpr,35,294,-171
unqualImports,2,17,-28
unqualNames,0,56,0
