_passName,_successfulAttempts,_totalAttempts,_removedBytes,_removedTokens,_removedNames
Functions.rmvUnusedParams,1,11,-8,-5,-2
Functions:inline,0,1,0,0,0
contexts,0,2,0,0,0
etaReduceMatches,0,2,0,0,0
expr2Undefined,10,111,16,-4,-4
filterExprSubList,0,4,0,0,0
formatting,1,1,-37,0,0
localBinds,4,16,-121,-27,-12
mkExportsExplicit,1,1,55,17,5
pat2Wildcard,4,18,-3,-1,-4
pragmas,1,1,-26,-1,0
rmvConArgs,0,9,0,0,0
rmvConstructors,8,14,-40,-16,-8
rmvDecls,2,17,-60,-17,-9
rmvDerivingClause,0,6,0,0,0
rmvExports,4,7,-34,-14,-4
rmvGuards,1,2,-20,-4,-3
rmvImports,1,4,-16,-3,0
rmvMatches,4,21,-388,-61,-28
rmvRHSs,1,33,-24,-6,-3
rmvSigs,5,5,-138,-43,-21
simplifyDerivingClause,1,8,-6,-4,-1
simplifyExpr,1,106,-35,-7,-1
simplifyType,0,7,0,0,0
splitSigs,0,3,0,0,0
type2Unit,1,28,1,1,-1
type2WildCard,0,75,0,0,0
unqualImport,2,4,-50,-14,-4
