_passName,_successfulAttempts,_totalAttempts,_removedBytes
Functions.rmvUnusedParams,0,4,0
expr2Undefined,16,97,-201
formatting,1,1,-179
localBinds,2,2,-32
pat2Wildcard,7,38,-11
pragmas,6,24,-107
rmvConstructors,3,13,-172
rmvDecls,16,83,-880
rmvExports,1,1,-20
rmvImports,3,5,-57
rmvMatches,2,10,-58
rmvRHSs,0,10,0
rmvSigs,10,22,-831
simplifyConDecl,10,11,-135
simplifyExpr,0,28,0
simplifyType,11,14,-138
splitSigs,0,9,0
tyVarBndr,7,10,-93
type2Unit,16,124,-107
type2WildCard,0,176,0
unqualImports,3,5,-78
